layer,shape,total_params,nnz,sparsity_%,orig_bits,compressed_bits,layer_CR,passthrough
Conv2d,"[16, 3, 3, 3]",432,271,37.27,13824,3669,3.77,False
Conv2d,"[64, 16, 3, 3]",9216,3444,62.63,294912,23107,12.76,False
Conv2d,"[64, 64, 3, 3]",36864,6196,83.19,1179648,45206,26.09,False
Conv2d,"[64, 16, 1, 1]",1024,674,34.18,32768,6530,5.02,False
Conv2d,"[64, 64, 3, 3]",36864,6479,82.42,1179648,47326,24.93,False
Conv2d,"[64, 64, 3, 3]",36864,6831,81.47,1179648,49242,23.96,False
Conv2d,"[128, 64, 3, 3]",73728,11092,84.96,2359296,81147,29.07,False
Conv2d,"[128, 128, 3, 3]",147456,13626,90.76,4718592,107308,43.97,False
Conv2d,"[128, 64, 1, 1]",8192,2631,67.88,262144,20366,12.87,False
Conv2d,"[128, 128, 3, 3]",147456,13410,90.91,4718592,106547,44.29,False
Conv2d,"[128, 128, 3, 3]",147456,13663,90.73,4718592,106983,44.11,False
Conv2d,"[256, 128, 3, 3]",294912,14815,94.98,9437184,125041,75.47,False
Conv2d,"[256, 256, 3, 3]",589824,7291,98.76,18874368,74792,252.36,False
Conv2d,"[256, 128, 1, 1]",32768,1673,94.89,1048576,19323,54.27,False
Conv2d,"[256, 256, 3, 3]",589824,2560,99.57,18874368,28586,660.27,False
Conv2d,"[256, 256, 3, 3]",589824,395,99.93,18874368,7734,2440.44,False
Linear,"[10, 256]",2560,1452,43.28,81920,9749,8.40,False
