trial_number,CR,acc_quantized,acc_drop_pp
1,69.7611950076981,0.9552,2.429999999999999
8,95.8426624962027,0.6999,27.960000000000008
15,52.82794205199444,0.982,-0.24999999999999467
18,74.45242715052353,0.9454,3.410000000000002
26,69.75605362070802,0.9688,1.0700000000000043
28,56.30510939255734,0.9816,-0.20999999999999908
29,77.41677496750975,0.9341,4.539999999999999
30,64.49717582567348,0.9799,-0.039999999999995595
34,61.48782283561189,0.9814,-0.19000000000000128
41,85.51236749116607,0.9117,6.780000000000008
